,Customer,Country,State Code,State,Claim Amount,Response,Coverage,Education,Effective To Date,EmploymentStatus,Gender,Income,Location Code,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy Type,Policy,Claim Reason,Sales Channel,Total Claim Amount,Vehicle Class,Vehicle Size,Loss_Ratio,Loss_Ratio_Classified
78,4031,0,1,1,1131.808982,0,2,2,55,1,1,38923,0,1,99,6,83,2,2,1,5,3,0,115.728852,2,2,0.1377399272240477,0
79,5077,0,2,2,5816.655350999999,0,1,3,50,1,1,61321,0,0,186,0,30,1,2,1,5,1,1,427.63120999999995,6,1,1.0424113532258064,1
80,9049,0,2,2,802.5229357999999,0,2,2,18,0,0,0,0,0,77,20,26,0,2,1,5,2,1,25.807685,1,3,0.4008606072927072,0
81,7468,0,2,2,578.0182197,1,1,1,49,1,1,51066,1,0,74,23,1,0,8,1,5,1,2,787.993313,2,2,7.811057022972974,1
82,1289,0,2,2,411.8539113,0,1,5,19,1,1,34378,1,1,102,12,54,0,1,1,3,2,1,489.6,3,2,0.07477376748366013,0
83,8566,0,4,4,252.30701499999998,0,1,4,7,1,1,43072,1,1,63,35,15,0,1,1,5,1,2,302.4,2,3,0.26699155026455024,0
84,6524,0,0,0,655.4216396,0,2,2,19,0,0,25222,1,0,90,28,69,0,3,1,5,1,0,475.623251,2,1,0.1055429371336554,0
85,2539,0,1,1,770.3397294,0,1,1,51,1,1,36765,1,1,66,15,32,1,2,1,4,3,2,320.84907200000004,2,2,0.3647441900568182,0
86,1624,0,2,2,592.6729379,1,2,2,17,0,1,23091,1,1,96,28,90,5,5,1,3,3,0,460.8,2,2,0.06859640484953704,0
87,5626,0,2,2,268.34706769999997,0,1,3,0,1,0,48269,2,1,69,3,79,3,1,0,1,2,3,282.151207,2,2,0.049228961236470366,0
88,795,0,0,0,269.51824189999996,0,1,3,31,1,0,32720,1,0,67,13,12,0,1,1,4,2,1,321.6,2,2,0.3352216939054726,0
89,5022,0,2,2,604.7025160000001,1,2,2,41,1,1,20396,1,1,76,15,60,1,4,1,5,3,1,364.8,2,2,0.132610200877193,0
90,3474,0,0,0,1317.101282,0,3,2,19,0,1,21513,1,1,119,21,81,1,2,1,5,1,1,679.827592,1,1,0.13664293827160495,0
91,4970,0,1,1,1065.688195,1,2,3,50,1,0,72540,1,1,88,7,3,0,2,0,2,1,2,631.743039,1,2,4.0366977083333335,1
92,1019,0,0,0,252.76537960000002,0,1,3,8,1,0,80744,0,1,63,24,84,0,1,0,2,3,0,11.879037,2,2,0.04776367717309146,0
93,7846,0,0,0,267.2095756,0,1,3,32,1,1,52822,1,1,67,23,88,0,1,0,0,3,1,350.529033,1,1,0.04532048432835821,0
94,5084,0,2,2,531.3294035,0,2,1,16,0,0,0,1,0,77,8,10,1,9,1,4,3,0,863.3947,2,2,0.6900381863636363,1
95,6944,0,0,0,2094.619251,0,1,3,47,1,0,69738,1,1,74,2,26,1,2,1,5,3,1,492.12753200000003,2,3,1.0886794443866945,1
96,3605,0,3,3,837.5353928999999,0,1,4,37,0,0,17780,0,1,109,12,18,0,9,1,5,3,1,132.58828799999998,3,2,0.42687838577981646,0
97,4890,0,2,2,480.1661503,0,1,3,38,0,1,18107,1,1,62,29,11,0,8,1,4,3,0,297.6,2,2,0.704055938856305,1
98,6054,0,3,3,574.594334,0,1,3,14,1,0,57740,2,1,74,30,87,3,9,1,3,2,3,269.905129,2,2,0.0892504401988195,0
99,2111,0,0,0,606.6115969,0,2,2,48,1,1,32627,1,1,76,11,60,0,7,1,4,3,0,380.036697,1,1,0.13302885896929825,0
100,7093,0,2,2,800.2308333,1,1,2,2,0,0,0,1,1,107,3,65,0,3,1,5,3,0,513.6,3,2,0.11505835130122213,0
101,22,0,2,2,239.3915369,1,1,2,24,0,1,0,1,0,70,24,10,0,1,1,3,3,1,425.266308,2,2,0.3419879098571429,0
102,8224,0,0,0,476.28179000000006,0,1,3,3,1,1,65795,0,0,62,2,85,1,3,0,2,2,2,49.011099,1,2,0.09037605123339659,0
103,1657,0,2,2,433.03860199999997,1,3,2,38,1,1,60475,1,1,107,9,18,0,1,1,5,1,1,513.6,2,2,0.22483831879543092,0
104,7188,0,2,2,940.2729768999999,0,2,1,58,0,0,0,1,0,130,28,88,0,4,1,5,3,3,936.0,3,2,0.08219169378496502,0
105,6856,0,0,0,696.6694527000001,0,2,3,10,1,0,41837,0,1,88,29,93,0,9,1,5,3,2,142.062768,2,1,0.0851257884530792,0
106,4457,0,2,2,769.4064293,0,1,3,25,1,0,32303,0,1,65,13,34,0,2,1,3,2,1,45.152521,2,2,0.34814770556561087,0
107,1091,0,0,0,871.7561149000001,0,1,1,30,0,1,0,1,1,117,5,89,1,3,1,3,3,0,561.6,3,2,0.0837180557860367,0
108,1574,0,2,2,592.8748528,0,1,3,19,1,0,40531,0,1,74,17,32,0,9,1,5,3,0,30.567357,1,2,0.25036944797297295,0
109,2404,0,0,0,245.29772880000002,0,1,2,36,1,1,79898,2,1,62,5,86,1,1,0,0,4,0,271.606799,2,2,0.04600482535633909,0
110,7822,0,2,2,670.1571657000001,0,2,2,50,1,1,56398,1,1,85,4,18,0,7,1,5,4,0,408.0,2,1,0.43801121941176474,0
111,8663,0,1,1,755.6240339999999,0,2,1,34,1,1,35257,1,0,98,16,2,1,8,0,1,1,3,470.4,2,1,3.855224663265306,1
112,4434,0,3,3,849.2698800000001,0,1,2,49,1,1,27804,1,1,109,19,54,0,7,1,5,1,1,784.8,3,2,0.14428642201834863,0
113,3683,0,0,0,771.3494046,0,1,3,43,1,1,45506,1,0,66,16,32,2,2,1,5,3,0,316.8,2,2,0.36522225596590907,0
114,912,0,1,1,2408.45352,0,1,1,42,1,1,65196,1,1,67,0,54,0,2,1,4,4,1,396.08203599999996,2,2,0.6656864344941957,1
115,3259,0,2,2,729.0069768999999,0,1,1,37,0,1,0,1,1,102,11,70,1,3,0,1,3,0,489.6,3,2,0.10210181749299718,0
116,7438,0,0,0,477.29438480000005,1,2,1,40,0,1,20993,1,0,133,35,90,0,1,1,5,1,0,638.4,3,2,0.0398742176106934,0
117,5208,0,3,3,680.6491394999999,0,2,1,13,1,1,37839,1,1,86,35,77,0,9,1,5,1,1,465.633954,1,2,0.10278603737541528,0
118,6443,0,2,2,246.97813340000002,0,1,3,6,1,0,92711,1,0,62,24,10,0,1,1,4,2,0,368.400146,1,2,0.39835182806451613,0
119,5108,0,2,2,310.39230410000005,0,2,2,54,1,0,74665,2,1,78,10,90,2,1,0,1,1,2,236.90200099999998,2,2,0.04421542793447294,0
120,8687,0,1,1,298.1875575,0,2,2,47,0,1,0,1,1,83,26,89,0,1,1,4,2,3,582.679087,1,2,0.04036653005279545,0
121,989,0,2,2,890.2737595000001,0,1,3,26,1,1,46833,0,1,112,6,3,0,9,1,5,3,2,64.109663,5,2,2.649624284226191,1
122,1335,0,0,0,549.9447223,0,1,1,20,1,0,88768,1,1,68,17,77,0,7,1,5,2,1,326.4,1,1,0.1050314595683728,0
123,6391,0,2,2,1502.359858,0,1,1,3,1,1,28262,1,0,192,9,77,0,3,1,5,2,3,921.6,4,2,0.10162066139069265,0
124,1525,0,4,4,250.9107875,0,1,3,38,1,0,33555,0,1,63,17,11,0,1,1,5,3,0,101.89645,2,2,0.36206462842712844,0
125,1848,0,0,0,3122.17481,0,3,2,22,1,1,42780,1,0,113,10,27,1,2,1,4,3,2,542.4,2,2,1.0233283546378236,1
126,8088,0,0,0,313.3503432,0,2,4,56,1,0,58850,0,0,78,20,26,0,1,1,5,1,1,143.747794,2,2,0.15451200355029585,0
127,2308,0,3,3,383.7451863,0,2,2,4,1,1,21880,2,1,97,29,37,0,1,2,7,3,1,424.077159,2,2,0.10692259300640847,0
128,5693,0,0,0,1179.049617,1,1,2,22,0,1,25251,1,0,66,13,43,0,2,1,4,1,3,316.8,2,2,0.4154508868921776,0
129,5983,0,1,1,783.8068321000001,0,1,4,39,0,0,0,0,1,69,9,12,0,2,1,3,1,0,2.704934,2,2,0.9466266088164252,1
130,7102,0,3,3,430.5808345,0,1,1,13,1,1,24188,1,1,109,14,82,0,1,1,5,3,0,523.2,5,2,0.048174181528306104,0
131,2042,0,4,4,597.3976904,0,1,3,18,1,0,41611,0,1,74,14,8,0,8,2,7,3,1,113.801497,2,2,1.0091177202702704,1
132,5608,0,0,0,567.0442396000001,0,1,3,24,1,0,28406,2,1,72,16,35,1,4,1,5,3,2,192.87572,2,2,0.22501755539682544,0
133,6873,0,3,3,473.1749346,0,3,2,11,1,1,69833,1,1,118,32,99,0,1,1,5,3,0,828.662719,2,1,0.04050461689779147,0
134,592,0,3,3,802.6379641,0,1,1,56,0,0,0,1,0,74,15,91,0,2,0,1,3,3,532.8,2,1,0.11919185686070685,0
135,4472,0,3,3,402.2963529,0,1,1,18,0,1,0,1,0,117,6,1,0,1,1,5,3,0,975.1070980000001,3,2,3.4384303666666667,1
136,5505,0,0,0,961.8310865,0,1,1,2,1,0,80536,0,1,119,5,83,0,3,2,7,3,1,53.798708,5,2,0.09738089364179406,0
137,5989,0,1,1,227.4775451,0,1,2,6,0,0,0,1,0,63,2,5,0,1,1,4,1,0,606.6424519999999,2,1,0.7221509368253968,1
138,6610,0,0,0,955.2926922,0,2,2,57,1,0,97732,2,1,79,0,70,0,2,1,5,4,1,289.9122,2,2,0.17274732227848102,0
139,323,0,3,3,1038.855323,0,2,3,2,1,0,61222,2,0,89,20,55,0,2,2,8,2,1,392.604371,2,1,0.21222784943820225,0
140,1281,0,0,0,247.0121222,0,1,2,30,0,1,0,1,0,74,7,20,0,1,1,3,4,3,721.242206,1,3,0.16690008256756755,0
141,5046,0,3,3,561.9068507999999,0,3,4,53,1,1,50335,2,1,140,9,54,0,1,1,4,3,2,456.52385,3,2,0.07432630301587301,0
142,4079,0,2,2,904.7119208999999,0,2,1,13,0,0,0,1,0,127,30,11,0,6,1,4,2,1,1087.995426,5,2,0.6476105375089477,1
143,8722,0,1,1,669.2143668,0,3,1,38,1,1,63221,1,1,168,28,49,0,1,0,2,2,0,806.4,3,2,0.08129426224489796,0
144,4006,0,0,0,373.1504584,1,2,1,47,0,0,0,1,1,96,31,34,0,1,1,3,3,0,460.8,2,3,0.11432305710784313,0
145,9046,0,4,4,366.0770258,0,2,3,9,1,1,64495,2,1,92,34,30,0,1,0,1,4,3,251.992083,2,2,0.13263660355072462,0
146,319,0,2,2,792.8829252,0,1,2,23,0,0,0,1,1,72,7,75,0,2,0,2,3,2,345.6,2,2,0.14683017133333334,0
147,8118,0,3,3,501.17515769999994,0,1,3,30,1,0,28859,1,0,67,24,51,3,4,0,1,3,2,321.6,1,2,0.14667110263388936,0
148,8466,0,3,3,798.8258292,0,2,1,31,1,0,77330,0,1,99,0,21,0,3,1,5,1,3,99.25760799999999,2,2,0.3842356080808081,0
149,1495,0,0,0,388.5456401,1,3,2,51,0,1,0,1,1,105,3,92,0,1,0,1,3,1,504.0,2,3,0.040222115952380955,0
150,2172,0,1,1,265.9337982,0,1,3,24,1,1,24495,1,0,70,29,65,0,1,1,4,4,1,336.0,2,1,0.05844698861538462,0
151,7699,0,1,1,856.4768226,1,1,1,39,1,1,95697,0,1,107,29,29,0,9,1,5,1,0,178.006524,5,2,0.2760157339993555,0
152,5296,0,3,3,488.5162511,0,2,1,34,0,1,26372,1,1,126,11,7,0,1,1,5,4,0,604.8,3,2,0.5538733005668934,1
153,568,0,3,3,975.3307106000001,0,2,3,47,0,0,17514,0,1,127,2,5,0,3,1,3,3,1,8.312729,3,2,1.53595387496063,1
154,8602,0,2,2,294.6153697,0,1,3,31,1,0,89270,2,0,74,17,90,0,1,1,5,1,1,316.599228,2,2,0.044236541996996996,0
155,4791,0,2,2,258.1110945,0,1,1,55,1,1,29757,1,1,65,13,55,0,1,1,4,1,3,312.0,2,1,0.07219890755244755,0
156,5995,0,0,0,351.7385764,0,2,2,15,1,1,51814,0,0,92,28,89,0,1,1,4,2,0,56.300724,2,2,0.04295781343429409,0
157,694,0,0,0,974.3350113,0,2,3,13,1,0,24028,1,1,82,14,27,0,2,1,4,1,0,393.6,2,1,0.4400790475609756,0
158,3501,0,3,3,387.3647046,1,1,2,12,0,1,28142,1,1,105,18,50,0,1,1,5,1,0,701.7082389999999,5,2,0.07378375325714286,0
159,5158,0,3,3,764.9281990000001,0,1,3,27,1,0,52705,0,1,64,14,8,1,2,1,4,3,3,128.70556299999998,1,3,1.4940003886718751,1
160,4624,0,2,2,228.759692,0,1,1,45,0,1,0,1,1,63,1,5,0,1,0,2,1,0,679.368378,1,2,0.7262212444444445,1
161,4375,0,1,1,447.5424592,0,1,2,50,1,0,84903,2,1,111,7,63,0,1,1,3,3,0,497.12682699999993,3,2,0.06399863566423566,0
162,8588,0,2,2,871.4922134999999,1,1,2,44,0,0,0,1,0,118,14,64,0,4,1,5,3,0,566.4,3,2,0.11539886301641948,0
163,3353,0,1,1,224.8449633,1,1,3,21,0,0,24910,1,0,63,7,63,1,1,1,3,3,1,347.857619,2,2,0.05665028049886621,0
164,2614,0,2,2,741.6197322,0,2,3,45,0,1,0,1,0,77,15,12,2,2,1,5,3,0,554.4,2,2,0.8026187577922078,1
165,6066,0,0,0,777.1158972999999,0,1,4,44,0,1,21876,1,1,68,12,28,0,2,1,5,3,0,465.41477000000003,2,1,0.40814910572478985,0
166,2844,0,2,2,696.83419,0,1,3,1,0,0,0,1,0,69,33,61,1,2,1,5,3,0,496.8,2,1,0.165558134948919,0
167,384,0,2,2,425.02826239999996,1,1,1,9,0,0,0,1,0,61,17,1,1,7,1,3,3,0,292.8,2,1,6.9676764327868845,1
168,2720,0,0,0,1977.656654,0,2,1,7,1,0,70699,2,0,82,1,57,0,2,1,4,2,0,256.81383700000004,2,2,0.4231186679503637,0
169,6750,0,2,2,2134.346599,0,1,1,27,0,0,0,1,1,74,11,85,1,2,1,4,3,0,355.2,2,2,0.33932378362480126,0
170,6897,0,2,2,241.3139714,0,1,2,19,0,1,27501,1,1,63,20,1,0,1,1,3,4,1,542.319401,2,2,3.8303804984126986,1
171,4071,0,0,0,1536.384716,0,3,5,6,0,0,15897,2,0,101,30,99,0,2,1,5,1,0,303.14839900000004,2,2,0.15365383698369836,0
172,5834,0,4,4,845.6961887,0,1,2,30,1,0,25141,0,0,73,12,4,1,2,1,5,2,0,25.438063,2,2,2.8962198243150685,1
173,4972,0,4,4,218.96425219999998,0,1,2,20,0,0,0,1,1,61,5,46,3,1,1,4,2,0,292.8,2,1,0.07803430228082679,0
174,1330,0,2,2,578.0182197,1,1,1,49,1,1,51066,1,0,74,23,1,0,8,1,4,1,2,787.993313,2,2,7.811057022972974,1
175,19,0,2,2,463.99816380000004,0,1,3,25,1,0,28358,0,1,117,24,37,0,1,1,4,1,2,84.024413,5,2,0.10718368302148303,0
176,6213,0,1,1,446.53357029999995,0,1,2,31,1,0,61846,0,1,112,1,48,0,1,1,4,1,0,215.8182,3,2,0.0830605599516369,0
177,3041,0,3,3,596.8118877,0,1,3,19,1,0,90972,2,1,74,3,47,0,8,1,5,1,2,232.92614500000002,1,2,0.17159628743530767,0
178,3109,0,1,1,509.7763337,0,1,2,36,0,0,0,1,0,74,3,95,0,7,1,5,2,3,532.8,1,2,0.07251441446657184,0
179,2571,0,2,2,407.6634665,0,1,3,15,1,0,29549,1,0,104,17,51,0,1,1,4,1,2,710.433775,5,1,0.07685962792232277,0
180,3068,0,2,2,1225.2601789999999,0,3,3,40,0,0,0,1,1,115,12,17,1,2,1,4,3,0,552.0,2,2,0.6267315493606137,1
181,3527,0,4,4,1693.627147,0,2,3,16,1,0,39411,1,1,217,4,29,2,4,1,5,2,1,1122.658899,6,2,0.2691287378039091,0
182,5302,0,0,0,489.2435461,0,1,1,40,1,1,21709,1,1,62,28,17,0,3,1,4,1,1,408.374746,2,3,0.46417793747628083,0
